Season,Tm07,Tm08,Tm09,Player,Player,Pos,GP,G,A,PTS,+/-,PIM,SOG,SPCT,SHFT,GWG,GTG,FOW,FOL,FO%,%Tm,PPG,PPA,SHG,SHA,ESG,ESA,PPG,PPA,SHG,SHA,ESG,ESA,ESGFA,PPGFA,SHGFA,ESGAA,PPGAA,SHGAA,MOIEH,MOIPP,MOISH,TMOI,BkS,Hits,MsS,GvA,TkA,BkS,Hits,MsS,GvA,TkA,AESMOI,ASHMOI,APPMOI,PLEH,PLPP,PLSH,PLT,MIEH,MIPP,MISH,MIT,PC,PC*,PCOEH,PCOPPP,PCOPPO,PCOSH,PCOSO,PCO,PCO*,PCDEH,PCDPP,PCDSHK,PCDSHO,PCD,PCD*,Def,Value,WiS Value,OGIT,DIT,RPM,Val OG,ValO,Val D,ValD,Tot,Date of Birth,City,Pr/St,Ctry,Ht,Wgt,Jersey,Shts,Rook,S-O,S-OG,S-OGW,Cap Cost,Nat
2006-07,Clb,Ana,Ana,"Platt, Geoff ",Geoff Platt,C ,26,4,5,9,1,10,40,10.0%,386,0,0,95,73,56.5%,11.7,0,1,0,0,4,4,0,7,0,0,22.2,22.2,3.33,1.4,0,2.78,0,21.43,216,42.9,2.8,261.6,5,17,11,7,4,1.1,3.9,2.5,1.6,0.9,8.3,0.1,1.6,12,1,0,13,10,0,1,11,5.8,44.4,5.6,-0.9,0,0,-0.6,4.1,31,1.7,0.1,-0.3,0.2,1.8,13.4,54,555287,"$1,751,290",6.8,6.5,2.8,0.2,1.3,1,6.5,1.3,10 Jul '85 ,Toronto ,ON ,CAN ,69,175,47,L ,Y ,1,0,0,,0
2007-08,Clb,Ana,Ana,"Platt, Geoff ",Geoff Platt,C,5,0,0,0,2,2,4,0.0%,,0,0,2,5,28.6%,2.3,0,0,0,0,0,0,0,0,0,0,0,0,3.82,0,0,1.27,0,0,47.1,8.9,0.5,56.5,1,3,3,2,0,1.1,3.2,3.2,2.1,0,9.4,0.1,1.8,3,0,0,3,1,0,0,1,-0.5,-18.6,-1.2,-0.5,0.6,0,0,-1.1,-40.4,0.6,0,0,0,0.6,21.8,,,"$165,000",1.3,1.2,1.6,-0.6,-18.2,0.4,12.2,-0.2,Jul 10 '85 ,Mississauga ,ON ,CAN ,69,175,20,L ,,,,,"$550,000",0
2006-07,Ana,Ana,Ana,"Parros, George ",George Parros,RW,32,1,0,1,-2,102,18,5.6%,262,0,0,0,0,0.0%,0,0,0,0,0,1,0,0,0,0,0,7.4,0,0.74,0,0,1.47,0,0,163,1.6,0.1,164.7,7,28,5,7,1,2.6,10.2,1.8,2.6,0.4,5.1,0,0,2,0,0,2,4,0,0,4,-1.6,-19.4,-2,-0.1,0,0,0,-2.1,-25,2.1,0,0,-1.7,0.5,5.5,35,165000,"$165,000",3.5,3.4,-2.5,-1.3,-15.6,-0.1,-1.2,-1.4,29 Dec '79 ,Washington ,PA ,USA ,77,232,16,R ,N,0,0,0,,1
2006-07,Col,Ana,Ana,"Parros, George ",George Parros,RW,2,0,0,0,-1,0,1,0.0%,12,0,0,0,0,0.0%,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.45,0,0,7.1,0,0,7.1,,,,,,0,0,0,0,0,3.6,0,0,0,0,0,0,1,0,0,1,-0.3,-73.8,-0.2,0,0,0,0,-0.2,-48,-0.2,0,0,0.1,-0.1,-25.8,,,"$165,000",0.3,0.3,-1,-0.2,-56.3,-0.1,-28.2,-0.3,,,,,,,,,,,,,,1
2006-07,Ana,Ana,Ana,"Parros, George ",George Parros,RW,34,1,0,1,-3,102,19,5.3%,274,0,0,0,0,0.0%,0,0,0,0,0,1,0,0,0,0,0,7.1,0,0.71,0,0,1.76,0,0,170.1,1.6,0.1,171.8,7,28,5,7,1,2.4,9.8,1.7,2.4,0.3,5,0,0,2,0,0,2,5,0,0,5,-1.9,-21.7,-2.1,-0.1,0,0,0,-2.2,-25.9,2,0,0,-1.6,0.4,4.3,33,165000,"$165,000",3.8,3.7,-3.5,-1.2,-13.8,-0.1,-1.2,-1.3,29 Dec '79 ,Washington ,PA ,USA ,77,232,16,R ,N,0,0,0,,2
2007-08,Ana,Ana,Ana,"Parros, George ",George Parros,RW,69,1,4,5,3,183,30,3.3%,,0,0,3,7,30.0%,0.2,0,0,0,0,1,4,0,0,0,0,3,12,1.35,0,0,0.9,0,0,400.7,1.1,8.4,410.2,9,91,11,7,9,1.3,13.3,1.6,1,1.3,5.8,0.1,0,9,0,0,9,6,0,0,6,-3.4,-16.6,-4.3,-0.1,1,-0.1,0,-3.4,-16.6,5.5,0,0.7,-6.2,0,0,46,165000,"$165,000",8.7,8.3,1.7,-2.3,-11,1,4.8,-1.2,Dec 29 '79 ,Washington ,PA ,USA ,77,229,16,R ,,,,,"$550,000",0
2007-08,,Ana,Ana,"King, Jason ",Jason King,RW,4,0,0,0,-3,0,2,0.0%,,0,0,1,0,100.0%,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,5.71,0,5.43,0,0,33.2,10.5,0.1,43.8,0,1,2,2,1,0,1.4,2.7,2.7,1.4,8.3,0,2.6,0,1,0,1,3,0,0,3,-1.6,-74.3,-0.9,-0.6,-0.3,0,0,-1.8,-83.8,-0.2,0,0,0.4,0.2,9.5,,,"$165,000",1.3,1,-3.1,-0.6,-22.1,-0.5,-18.4,-1,Sep 14 '81 ,Corner Brook ,NL ,CAN ,72,193,42,L ,,,,,"$475,000",0
2006-07,Clb,Clb,Ana,"Lindstrom, Joakim ",Joakim Lindstrom,C ,9,1,0,1,-3,4,9,11.1%,110,0,0,0,0,0.0%,0,0,0,0,0,1,0,0,0,0,0,17.6,0,0.88,0,0,2.64,8.02,0,68.3,7.5,0.4,76.2,1,3,7,0,1,0.8,2.4,5.5,0,0.8,7.6,0,0.8,1,0,0,1,3,1,0,4,0.3,8.7,0.3,-0.3,0,0,0,-0.1,-1.4,0.7,-0.1,0,-0.2,0.4,10.2,,,"$165,000",1.7,1.6,-2.6,-0.3,-7.1,-0.3,-7.1,-0.6,05 Dec '83 ,Skelleftea ,,SWE ,72,187,,L ,Y ,0,0,0,,0
2007-08,Clb,Clb,Ana,"Lindstrom, Joakim ",Joakim Lindstrom,C,25,3,4,7,0,14,25,12.0%,,1,0,2,5,28.6%,0.5,2,2,0,0,1,2,16.9,16.9,0,0,6,12,2.1,8.43,0,2.1,0,0,199.8,35.6,0.5,235.8,1,9,13,0,5,0.3,2.3,3.3,0,1.3,8,0,1.4,7,5,0,12,7,0,0,7,1.3,11.4,-0.4,3.6,-1,0,-0.9,1.2,10.6,2.5,0.2,0.1,-2.6,0.1,0.8,56,645997,"$2,118,870",6.7,4.9,1,-0.3,-2.2,0.6,4.4,0,Dec 05 '83 ,Skelleftea ,,SWE ,72,187,38,L ,Y ,,,,"$525,000",0
2006-07,Van,,Ana,"Green, Josh ",Josh Green,C ,57,2,5,7,0,25,74,2.7%,995,2,0,108,158,40.6%,8,0,0,0,1,2,4,0,0,0,2.1,4.9,9.8,1.48,0,0.41,1.6,0,2.06,487.7,17.4,145.3,650.4,18,46,22,18,27,1.7,4.2,2,1.7,2.5,8.6,2.5,0.3,12,0,1,13,13,0,5,18,12.9,39.7,-5.4,-1,0.1,-0.6,2,-4.9,-14.9,6,0,10.4,1.3,17.7,54.6,64,165000,"$165,000",9.8,11.3,-1.7,-2.3,-5.7,0.9,2.2,-1.4,16 Nov '77 ,Camrose ,AB ,CAN ,76,225,25,L ,N,0,0,0,,0
2006-07,Ana,Ana,Ana,"Huskins, Kent ",Kent Huskins,D ,33,0,3,3,-3,14,16,0.0%,624,0,0,0,0,0.0%,0,0,1,0,0,0,2,0,21.8,0,0,0,5.8,1.74,13.11,0,2.17,0,3.35,414.6,13.7,35.9,464.2,33,29,12,7,9,4.3,3.7,1.6,0.9,1.2,12.6,1.1,0.4,12,3,0,15,15,0,2,17,12,51.6,-2,0.2,0,-0.1,0,-1.9,-8,9.6,0.3,2.8,1.1,13.8,59.6,61,732327,"$1,819,722",8.5,9.4,-5.2,-1,-3.9,-0.2,-0.8,-1.2,04 May '79 ,Almonte ,ON ,CAN ,75,217,40,L ,N,0,0,0,,0
